"GEOID","TYPE","BORO","DIST_ROADBED","DIST_BLDG_HGHT"
360610265002008,"d","Manahattan",7.28792647296818525328185328185328185328,8.928165
360810846021010,"d","Queens",22.50794995574004416602564102564102564103,3.970758
360610143001046,"d","Manahattan",11.68668632546523641335082367297132397804,1.243082
360610113001000,"d","Manahattan",19.97058216924972247164861682242990654206,75.11029599999998
360610093002000,"d","Manahattan",8.46712444939024616219502964551532736218,7.382217
360810065023000,"d","Queens",8.83183673247674115789147286821705426357,3.4377089999999995
360610077005001,"d","Manahattan",8.3629029279770573225344091124822021832,7.362584
360610110001000,"d","Manahattan",13.61412238644969485188170008828351620633,30.511491
360610037003007,"d","Manahattan",9.40278562332490989857158920539730134933,11.648201
360610088002001,"d","Manahattan",16.57104468310928210788704696895823175687,12.993406
360610037001011,"d","Manahattan",11.14454153267006811115300942712110224801,36.156367
