GEOID	BORO	TUID	DIST_ROADBED	DIST_BLDG_HGHT	TYPE
360050358004000	Bronx	20130701024503	0	1.362448	d
360050359001006	Bronx	20130701028778	0	3.728613	d
360050363003002	Bronx	20130701000916	9.319944542	2.046835	d
360050365021000	Bronx	20130701009536	0	5.279908	d
360050365021000	Bronx	20130701028383	38.81938523	5.279908	d
360050369021000	Bronx	20130701029260	0	6.394691	d
360050371002004	Bronx	20130701013316	46.76459548	3.059646	d
360050380001000	Bronx	20130701002157	52.60441398	3.8172	d
360050381004000	Bronx	20130701026023	0	4.457341	d
360050383021005	Bronx	20130701026054	0	4.072897	d
360050387001006	Bronx	20130701026268	0	4.134692	d
360050387002001	Bronx	20130701021337	50.92093352	4.000152	d
360050391005000	Bronx	20130701008924	15.64444077	4.22631	d
360050396004000	Bronx	20130701010925	0	3.183731	d
360050397001002	Bronx	20130701013605	0	2.658827	d
360050397001004	Bronx	20130701029101	6.195979073	9.358055	d
360050407023001	Bronx	20130701013312	0	6.045245	d
360050418002002	Bronx	20130701025636	0	2.407529	d
360050419005000	Bronx	20130701005332	0	5.028108	d
360050419007000	Bronx	20130701000143	0	7.817437	d
360050420001000	Bronx	20130701007010	0	4.676141	d
360050421001001	Bronx	20130701017199	78.76399038	11.400749	d
360050424001002	Bronx	20130701014955	46.16749312	1.655478	d
360050424002002	Bronx	20130701004483	58.13893825	2.196263	d
360050425005000	Bronx	20130701026444	0	3.724824	d
360050425006001	Bronx	20130701007991	0	4.864194	d
360050431007000	Bronx	20130701005782	3.787769139	8.191104	d
360050435001025	Bronx	20130701014559	20.3753152	0.036817	d
360050449012001	Bronx	20130701010776	0	2.968412	d
360050451021003	Bronx	20130701000137	0	3.6245	d
360050462016000	Bronx	20130701026350	0	6.730656	d
360050462016002	Bronx	20130701028403	36.56371151	12.124659	d
360050462025002	Bronx	20130701013549	0	2.210818	d
360050484002010	Bronx	20130701042431	0	1.197807	d
360050516001011	Bronx	20130701043064	54.32040867	1.946351	d
360470001001005	Brooklyn	20130701027796	0	11.651949	d
360470001003004	Brooklyn	20130701009479	49.28821422	6.665562	d
360470001003006	Brooklyn	20130701014611	81.44250879	9.552017	d
360470001004001	Brooklyn	20130701026217	18.90724481	15.978495	d
360470001004002	Brooklyn	20130701013645	0	37.671356	d
360470001004002	Brooklyn	20130701017990	65.31689469	37.671356	d
360470001004002	Brooklyn	20130701027510	0	37.671356	d
360470002001002	Brooklyn	20130701029236	0	3.352582	d
360470002001003	Brooklyn	20130701021612	79.40173409	5.69445	d
360470003011001	Brooklyn	20130701000049	0.7028339869	9.625029	d
360470003011001	Brooklyn	20130701014733	71.05499306	9.625029	d
360470003012000	Brooklyn	20130701001262	0	22.741738	d
360470003014000	Brooklyn	20130701045387	0	0.88298	d
360470003014004	Brooklyn	20130701008658	0	7.468533	d
360470003014005	Brooklyn	20130701014999	0	6.974369	d
360470003014005	Brooklyn	20130701029793	40.79574092	6.974369	d
360470003015006	Brooklyn	20130701025922	85.39400427	7.07623	d
360470003015008	Brooklyn	20130701002859	11.30143466	6.610513	d
360470005011000	Brooklyn	20130701001410	4.799954097	40.758767	d
360470005011000	Brooklyn	20130701007832	0	40.758767	d
360470005011000	Brooklyn	20130701012594	68.99335447	40.758767	d
360470005011000	Brooklyn	20130701025163	0	40.758767	d
360470005011000	Brooklyn	20130701030381	32.48724758	40.758767	d
360470005011001	Brooklyn	20130701000651	0	8.360142	d
360470005011001	Brooklyn	20130701014231	18.14168146	8.360142	d
360470005011001	Brooklyn	20130701014773	0	8.360142	d
360470005011001	Brooklyn	20130701026543	0	8.360142	d
360470005012000	Brooklyn	20130701013276	45.66720331	14.74582	d
360470005012001	Brooklyn	20130701009623	0	9.980999	d
360470005012001	Brooklyn	20130701010015	0	9.980999	d
360470005013000	Brooklyn	20130701004470	93.28299407	11.910933	d
360470005013001	Brooklyn	20130701025738	0	7.560249	d
360470005013001	Brooklyn	20130701026606	0	7.560249	d
360470005021000	Brooklyn	20130701006065	0	14.49418	d
360470005021001	Brooklyn	20130701007387	0	8.541477	d
360470005021001	Brooklyn	20130701007647	0	8.541477	d
360470005021001	Brooklyn	20130701025521	18.97295267	8.541477	d
360470005021001	Brooklyn	20130701028115	3.384729805	8.541477	d
360470005021002	Brooklyn	20130701002561	0	39.215335	d
360470005021002	Brooklyn	20130701023347	69.77711188	39.215335	d
360470005022001	Brooklyn	20130701002976	0	10.70874	d
360470005022002	Brooklyn	20130701002571	69.57288988	8.158828	d
360470005022002	Brooklyn	20130701002727	41.50639736	8.158828	d
360470005022002	Brooklyn	20130701008378	0	8.158828	d
360470005022002	Brooklyn	20130701025974	0	8.158828	d
360470005022002	Brooklyn	20130701027165	14.16935641	8.158828	d
360470007001003	Brooklyn	20130701000289	0	20.031673	d
360470007001003	Brooklyn	20130701020932	0	20.031673	d
360470007001004	Brooklyn	20130701004553	1.809988142	5.176618	d
360470007001004	Brooklyn	20130701016001	79.3639678	5.176618	d
360470007001004	Brooklyn	20130701020215	9.813996056	5.176618	d
360470007002000	Brooklyn	20130701021886	9.676958453	6.41903	d
360470007003000	Brooklyn	20130701023963	58.84535346	15.529627	d
360470007003000	Brooklyn	20130701028055	0	15.529627	d
360470007003002	Brooklyn	20130701008169	0	5.659565	d
360470009001000	Brooklyn	20130701009609	0	21.000424	d
360470009001000	Brooklyn	20130701043433	0	21.000424	d
360470009001001	Brooklyn	20130701002773	0	30.464668	d
360470009001001	Brooklyn	20130701018476	53.46665579	30.464668	d
360470009001001	Brooklyn	20130701027781	0	30.464668	d
360470009001002	Brooklyn	20130701027887	0	24.467099	d
360470009001002	Brooklyn	20130701045930	0	24.467099	d
360470009001003	Brooklyn	20130701009946	0	18.515041	d
360470009001003	Brooklyn	20130701023885	5.867278979	18.515041	d
360470009001003	Brooklyn	20130701046045	44.61625952	18.515041	d
360470009001004	Brooklyn	20130701004551	0	31.883726	d
360470009001004	Brooklyn	20130701006864	0	31.883726	d
